avg_daily_traffic,spans_units,structure_length[ft],age,deck_area[ft2],mile_point,latitude,longitud,approach_span_units,approach_width[ft],skew_angle[o],nav_vert_clearance,nav_horiz_clearance,route_horiz_clearance,lengt_max_span[ft],left_curb_width[ft],right_curb_width[ft],roadway_curb_curb_width,min_vert_clearance_over,min_vert_underclearance,min_right_underclearance,min_left_underclearance,min_clearance_lift_brige,operating_rating[us-tons],inventory_rating[us-tons],detour_dist,avg_daily_truck_traffic,avg_daily_future_traffic,length_improvement,improvement_cost,road_improvement_cost,total_project_cost,avg_daily_truck_traffic[computed],avg_rel_humidity,avg_temperature,max_temperature,mean_wind_speed,min_temperature,days_measurable_precipitation,days_temp_below_0C,wind_direction,time_wetness,total_precipitation,inspection_month,inspection_year,historical_code,condition_rate,structural_appraisal,approach_alignment_appraisal,operating_rating_code,inventory_rating_code,condition_code
100.0,1,24.6,10,395.6,1.253,34.76984,-84.03099,0,16.1,0,0.0,0.0,99.90000153,24.6,99.1,99.1,0.0,99.98999786,0.0,0.0,0.0,0.0,,,620.7,0,150,0.0,,,,,78.0,13.4,33.9,0.0,-7.1,141,76,158.63,4325.0,1558.15,2,2019,4,Good,,8,5,5,8
50.0,1,24.6,12,444.0,1.889,34.92981,-83.28863,0,18.0,0,0.0,0.0,99.90000153,24.6,0.0,0.0,0.0,99.98999786,0.0,0.0,0.0,0.0,,,620.7,0,75,0.0,,,,,78.0,13.7,33.6,0.0,-6.1,141,74,151.58,4453.0,1501.58,2,2019,4,Good,,8,5,5,8
106.0,1,63.0,32,1012.7,2.051,34.94998,-83.55069,2,16.1,0,0.0,0.0,16.7,43.0,1.0,1.0,14.1,99.98999786,0.0,0.0,0.0,0.0,77.2,47.2,98.2,20,159,0.0,,,83.0,21.0,78.0,13.4,33.9,0.0,-7.1,141,76,158.63,4325.0,1558.15,11,2017,4,Fair,6,6,8,8,6
9290.0,3,110.9,60,8913.6,34.0,32.01841,-80.85094,0,67.9,0,0.0,0.0,67.9,37.1,4.9,4.9,68.2,99.98999786,0.0,0.0,0.0,0.0,42.0,24.9,98.8,4,13935,0.0,670.0,67.0,1005.0,372.0,,,,,,0,0,,,,6,2018,5,Fair,5,8,1,1,6
490.0,4,120.1,47,3309.3,1.0,32.00641,-80.86697,0,22.0,0,0.0,0.0,25.9,29.9,0.0,0.0,25.9,99.98999786,0.0,0.0,0.0,0.0,51.9,35.9,98.8,1,735,0.0,469.0,47.0,703.0,5.0,,,,,,0,0,,,,6,2018,5,Good,7,8,2,2,7
8220.0,3,1433.1,62,49367.6,32.0,32.01583,-80.88398,19,35.1,0,34.7,119.8,27.9,153.9,2.0,2.0,27.9,99.98999786,0.0,0.0,0.0,0.0,36.9,21.9,98.8,1,12330,1647.0,5599.0,560.0,8399.0,82.0,,,,,,0,0,,,,6,2018,5,Fair,5,8,1,1,5
395.0,13,1294.9,4,39511.2,0.162,32.02086,-80.899,0,36.7,0,0.0,0.0,26.9,105.0,0.0,0.0,26.9,99.98999786,0.0,0.0,0.0,0.0,54.0,42.0,98.8,1,587,,40.0,4.0,60.0,4.0,,,,,,0,0,,,,4,2018,5,Good,7,8,3,3,7
4180.0,3,126.0,8,5042.7,6.0,32.01814,-80.9621,0,23.6,0,0.0,0.0,29.9,42.0,2.3,7.9,29.9,99.98999786,0.0,0.0,0.0,0.0,66.9,34.0,6.8,1,6270,151.9,11248.0,1124.0,16872.0,42.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,6,2018,5,Good,7,8,1,1,7
8020.0,62,3534.1,55,126384.1,27.0,32.03766,-80.95661,0,35.1,0,19.6,49.9,29.9,78.1,1.6,1.6,29.9,99.98999786,0.0,0.0,0.0,0.0,70.0,38.9,98.8,1,12030,3745.1,13808.0,1381.0,20712.0,80.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,6,2018,5,Fair,6,8,1,1,6
23820.0,3,1308.1,59,98276.9,2.0,32.01956,-80.9919,18,24.0,0,0.0,0.0,71.9,118.1,0.0,0.0,71.9,99.98999786,0.0,0.0,0.0,0.0,45.0,30.0,3.1,1,35730,0.0,7898.0,790.0,11847.0,238.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,6,2018,5,Fair,6,8,2,2,6
